[2026-03-05T20:06:59.859Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:07:02.256Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:07:02.549Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:07:02.690Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:07:02.962Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:07:03.130Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:07:03.275Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:07:03.404Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:12:13.242Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:12:13.573Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:13:03.636Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:13:04.672Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:13:31.675Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:13:32.591Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:21:31.606Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:22:10.100Z] [INFO] Server running on port 3001
[2026-03-05T20:22:10.313Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:22:19.842Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:22:26.903Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:22:27.058Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:24:09.558Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:25:49.070Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:25:49.433Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:27:18.041Z] [INFO] Server running on port 3001
[2026-03-05T20:27:20.861Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:29:25.990Z] [INFO] Server running on port 3001
[2026-03-05T20:29:28.777Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:29:37.142Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:38:52.508Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:39:08.720Z] [INFO] Server running on port 3001
[2026-03-05T20:39:11.043Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:39:34.092Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:43:27.849Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:45:34.563Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:56:03.999Z] [INFO] Server running on port 3001
[2026-03-05T20:56:04.823Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:56:48.061Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:57:00.567Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:57:23.754Z] [INFO] Server running on port 3001
[2026-03-05T20:57:26.703Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:57:53.035Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:58:45.975Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T20:59:06.256Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:00:39.913Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:00:40.699Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
